Position Name,Salary,Job Type,Shift & Schedule,Company,Location,Rating,URL,"ID",Posted At,Scraped At,Short Description,External Apply Link
Data entry executive,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦40,000 - ₦60,000 a month",Full-time,,Combination Industries FZE,Calabar,,https://ng.indeed.com/company/Combination-Industries-FZE/jobs/Data-Entry-Clerk-a088be24ff0257ee?fccid=be22590d5b0ca12b&vjs=3,a088be24ff0257ee,EmployerActive 15 days ago,2023-11-21T10:46:06.425Z,"We are seeking a detail-oriented data entry operator to compile, capture, and maintain.
 Gathering, collating, and preparing documents, materials, and…",ng.indeed.com/applystart?jk=a088be24ff0257ee
Office Assistant,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦50,000 a month",Full-time,,Treetop Consulting,Lagos,,https://ng.indeed.com/company/Treetop-Consulting/jobs/Office-Assistant-4b50d54bb256c958?fccid=9f3e2dfad3795e9a&vjs=3,4b50d54bb256c958,,2023-11-21T10:46:06.427Z,We are looking for a competent Office Assistant to help with the organization and running of the daily administrative operations of the company.,ng.indeed.com/applystart?jk=4b50d54bb256c958
Office Assistant,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦85,000 - ₦95,000 a month",Full-time,,Adebayo Enterprise,Lagos,,https://ng.indeed.com/company/Adebayo-Enterprise/jobs/Office-Assistant-bcb75a3e3edad426?fccid=bdbdd16b97967dbc&vjs=3,bcb75a3e3edad426,EmployerActive 10 days ago,2023-11-21T10:46:06.428Z,"Handling incoming calls and other communications.
 Greeting clients and visitors as needed.
 Updating paperwork, maintaining documents, and word processing.",ng.indeed.com/applystart?jk=bcb75a3e3edad426
SERVER/NETWORK ADMINISTRATOR,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦150,000 - ₦300,000 a month",Full-time,,LOTUS BETA ANALYTICS,Ibadan,,https://ng.indeed.com/company/Lotus-Beta-Analytics/jobs/Network-Administrator-c26999d0aadffac7?fccid=bcf4134cdb505353&vjs=3,c26999d0aadffac7,PostedJust posted,2023-11-21T10:46:06.429Z,"Manages the company’s Active Directory.
 Design and manages enterprise server and storage infrastructure for optimal business operations.",ng.indeed.com/applystart?jk=c26999d0aadffac7
Personal Assistant,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦50,000 - ₦70,000 a month",Full-time +1,,Blessed Seeds Concepts,Ibadan,,https://ng.indeed.com/company/Blessed-Seeds-Concepts/jobs/Personal-Assistant-c27a91b89b39feb8?fccid=804472d7ceddfbe4&vjs=3,c27a91b89b39feb8,EmployerActive 8 days ago,2023-11-21T10:46:06.429Z,"They can attend meetings, take detailed notes and deliver a full report.
 Personal Assistants often spend their time traveling, making phone calls, meeting with…",ng.indeed.com/applystart?jk=c27a91b89b39feb8
Data Entry Clerk,,,,Society for family health (SFH),Kano,,https://ng.indeed.com/rc/clk?jk=80b9f99aa4cc8436&fccid=087d0053d5e74707&vjs=3,80b9f99aa4cc8436,PostedPosted 14 days ago,2023-11-21T10:46:06.430Z,"We work in partnership with the Federal and State Governments of Nigeria, the Global Fund, United States Agency for International Development (USAID),…",ng.indeed.com/applystart?jk=80b9f99aa4cc8436
Computer Teacher,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦60,000 - ₦80,000 a month",Full-time,,"Citadel International College, Ikare Akoko Ondo...",Ondo,,"https://ng.indeed.com/company/Citadel-International-College,-Ikare-Akoko-Ondo-State/jobs/Computer-Teacher-d76dc44e92ffe548?fccid=e115ca1392ad0f7d&vjs=3",d76dc44e92ffe548,PostedJust posted,2023-11-21T10:46:06.431Z,"Instruct students on how computers work, including the basic science and mathematics behind their operation and the hardware and the software built on those…",ng.indeed.com/applystart?jk=d76dc44e92ffe548
INVENTORY ASSISTANT,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦50,000 a month",Full-time,,WorQulture,Lagos,,https://ng.indeed.com/company/Worqulture/jobs/Inventory-Assistant-71961cda869cb4e1?fccid=bf57189628ef38ff&vjs=3,71961cda869cb4e1,PostedJust posted,2023-11-21T10:46:06.432Z,"Assist in preparing the purchase orders, receiving, storing, issuing the goods, managing the stock levels and giving out the supplies from the stock.",ng.indeed.com/applystart?jk=71961cda869cb4e1
Airport luggage handlers,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦90,000 a month",Full-time,,Workpear consulting,Lagos,,https://ng.indeed.com/company/Workpear-consulting/jobs/Handler-1fb3146caf002585?fccid=ee86d574df529520&vjs=3,1fb3146caf002585,EmployerActive 6 days ago,2023-11-21T10:46:06.432Z,"Handle load and unload customers’ baggage and cargo onto an aircraft..
 Operate conveyor belts, tugs, and tow tractors laden with baggage and cargo..",ng.indeed.com/applystart?jk=1fb3146caf002585
INVOICING AND DOCUMENTATION SPECIALIST,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦170,000 - ₦200,000 a month",Full-time,,Kimberly Ryan Limited,Lagos,,https://ng.indeed.com/company/Kimberly-Ryan-Limited/jobs/Document-Specialist-650769ff16780b2f?fccid=df6c4c5c34e2222a&vjs=3,650769ff16780b2f,EmployerActive 4 days ago,2023-11-21T10:46:06.433Z,"Create and send accurate invoices to clients, customers, or partners.
 Verify the correctness of billing details, including pricing, quantities, and terms.",ng.indeed.com/applystart?jk=650769ff16780b2f
