Position Name,Job Type,Company,Location,URL
Data entry executive,Full-time,Combination Industries FZE,Calabar,https://ng.indeed.com/company/Combination-Industries-FZE/jobs/Data-Entry-Clerk-a088be24ff0257ee?fccid=be22590d5b0ca12b&vjs=3
Office Assistant,Full-time,Treetop Consulting,Lagos,https://ng.indeed.com/company/Treetop-Consulting/jobs/Office-Assistant-4b50d54bb256c958?fccid=9f3e2dfad3795e9a&vjs=3
Office Assistant,Full-time,Adebayo Enterprise,Lagos,https://ng.indeed.com/company/Adebayo-Enterprise/jobs/Office-Assistant-bcb75a3e3edad426?fccid=bdbdd16b97967dbc&vjs=3
SERVER/NETWORK ADMINISTRATOR,Full-time,LOTUS BETA ANALYTICS,Ibadan,https://ng.indeed.com/company/Lotus-Beta-Analytics/jobs/Network-Administrator-c26999d0aadffac7?fccid=bcf4134cdb505353&vjs=3
Personal Assistant,Full-time +1,Blessed Seeds Concepts,Ibadan,https://ng.indeed.com/company/Blessed-Seeds-Concepts/jobs/Personal-Assistant-c27a91b89b39feb8?fccid=804472d7ceddfbe4&vjs=3
Data Entry Clerk,,Society for family health (SFH),Kano,https://ng.indeed.com/rc/clk?jk=80b9f99aa4cc8436&fccid=087d0053d5e74707&vjs=3
Computer Teacher,Full-time,"Citadel International College, Ikare Akoko Ondo...",Ondo,"https://ng.indeed.com/company/Citadel-International-College,-Ikare-Akoko-Ondo-State/jobs/Computer-Teacher-d76dc44e92ffe548?fccid=e115ca1392ad0f7d&vjs=3"
INVENTORY ASSISTANT,Full-time,WorQulture,Lagos,https://ng.indeed.com/company/Worqulture/jobs/Inventory-Assistant-71961cda869cb4e1?fccid=bf57189628ef38ff&vjs=3
Airport luggage handlers,Full-time,Workpear consulting,Lagos,https://ng.indeed.com/company/Workpear-consulting/jobs/Handler-1fb3146caf002585?fccid=ee86d574df529520&vjs=3
INVOICING AND DOCUMENTATION SPECIALIST,Full-time,Kimberly Ryan Limited,Lagos,https://ng.indeed.com/company/Kimberly-Ryan-Limited/jobs/Document-Specialist-650769ff16780b2f?fccid=df6c4c5c34e2222a&vjs=3
Administrative Assistant,Full-time,Total Enroll,Lagos,https://ng.indeed.com/company/Total-Enroll/jobs/Administrative-Assistant-dd44463272d839cd?fccid=526b0b56746f7628&vjs=3
Administrative Officer,Full-time +1,Dawson Consulting,Lagos,https://ng.indeed.com/company/Dawson-Consulting/jobs/Administrative-Officer-7a144082280024e9?fccid=b079c51b1bce9a62&vjs=3
Store Manager,Full-time,Ascentech Services Ltd,Warri,https://ng.indeed.com/company/Ascentech-Services-Ltd/jobs/Store-Manager-728ae5e9d880038e?fccid=f0e84bc88bd76fbe&vjs=3
